Name,Surname,Birth Date,Age,Mobile Phone,Work Phone,Home Phone
Ekaterina,Konovalova,02/03/2001,19,89203099899,-,88314122663
Olga,Petryakova,11/04/2003,17,89042300202,-,-
Petr,Ivanov,11/07/1990,30,89053211211,-,89042311212
Maxim,Stepanov,07/09/1989,31,89765644444,-,-
Alina,Troyanova,-,-,89073211212,-,88319022323
Igor,Tregubov,12/12/2004,15,89700709898,-,-
Kristina,Troyanova,31/12/2009,10,89067099090,-,-
Karina,Panova,01/01/2003,17,89500232323,89066666643,89079088765
Alexey,Nikolaev,18/03/1992,28,89692032323,-,-
Karina,Gromova,-,-,89077655656,89056766556,-
Konstantin,Petrov,12/11/2001,19,89032021212,-,-
Boris,Petrov,11/06/1999,21,89600755454,-,-
Roman,Ivanov,11/03/2001,19,89032022222,-,88314121632
Ivan I,Loganov,13/07/2000,20,89064543232,-,-
Alina,Zotova,11/11/2001,19,89067877676,-,-
Elizaveta,Ponova,11/03/2000,20,89034562323,89099877878,89021233232
Tatiana,Krotova,-,-,89077654545,-,-
